Country,DateFolder,Year,IncidentFolder,IncidentPath,ID,TitleEN,TitleEL,CategoryEN,CategoryEL,EvidenceEN,EvidenceEL,MediaCount
Greece,00-00-2012,2012,"GREECE Massive Leak of Identity, Tax, and Vehicle Data (2012-2013)","Greece/00-00-2012/GREECE Massive Leak of Identity, Tax, and Vehicle Data (2012-2013)",greece_2012_mass_id_tax_vehicle_data_leak,"GREECE: Massive Leak of Identity, Tax, and Vehicle Data (2012-2013)","ΕΛΛΑΔΑ: Μαζική διαρροή στοιχείων ταυτότητας, ΑΦΜ και οχημάτων (2012-2013)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2012,2012,"Greece Novartis case — bribery, political warfare, and legal whiplash (2012-2026)","Greece/00-00-2012/Greece Novartis case — bribery, political warfare, and legal whiplash (2012-2026)",greece_2012_novartis_2012_2026,"Greece: Novartis case — bribery, political warfare, and legal whiplash (2012-2026)","Ελλάδα: υπόθεση Novartis — μίζες, πολιτικός πόλεμος και νομικές ανατροπές (2012-2026)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2012,2012,"Halyvourgia strike, riot police intervention, and austerity labor conflict","Greece/00-00-2012/Halyvourgia strike, riot police intervention, and austerity labor conflict",greece_2012_halyvourgia_strike_policing_labor_crisis,"Halyvourgia strike, riot police intervention, and austerity labor conflict","Απεργία Χαλυβουργίας, επέμβαση ΜΑΤ και εργασιακή σύγκρουση λιτότητας",labor conflict / austerity / policing,εργασιακή σύγκρουση / λιτότητα / αστυνόμευση,documented strike and police intervention with contested labor narratives,τεκμηριωμένη απεργία και αστυνομική επέμβαση με αμφισβητούμενες εργασιακές αφηγήσεις,2
Greece,00-00-2012,2012,Pharmakonisi and Aegean Pushback Allegations Border Deaths and Competing Narratives,Greece/00-00-2012/Pharmakonisi and Aegean Pushback Allegations Border Deaths and Competing Narratives,greece_2012_pharmakonisi_aegean_pushback_allegations_border_deaths_competing_narra,Pharmakonisi and Aegean Pushback Allegations: Border Deaths and Competing Narratives,Φαρμακονήσι και Ισχυρισμοί Pushback: Θάνατοι στα Σύνορα και Αντίθετες Αφηγήσεις,border rights / migration,δικαιώματα συνόρων / μετανάστευση,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-2012,2012,Public shaming of HIV-positive women,Greece/00-00-2012/Public shaming of HIV-positive women,greece_2012_shaming_hiv_positive_women,Public shaming of HIV-positive women,Public shaming of HIV-positive women,public health / police spectacle,public health / police spectacle,documented rights scandal,documented rights scandal,2
Greece,00-00-2013,2013,"ERT shutdown, black screen, and public broadcasting shock","Greece/00-00-2013/ERT shutdown, black screen, and public broadcasting shock",greece_2013_ert_shutdown_public_broadcasting_state_black_screen,"ERT shutdown, black screen, and public broadcasting shock","Κλείσιμο ΕΡΤ, μαύρη οθόνη και σοκ δημόσιας ραδιοτηλεόρασης",media / austerity governance / state power,ΜΜΕ / διακυβέρνηση λιτότητας / κρατική ισχύς,documented government shutdown and institutional dispute,τεκμηριωμένο κυβερνητικό κλείσιμο και θεσμική διαμάχη,2
Greece,00-00-2013,2013,"ERT shutdown, public broadcasting, austerity and state media power (2013)","Greece/00-00-2013/ERT shutdown, public broadcasting, austerity and state media power (2013)",greece_2013_ert_shutdown_broadcasting_austerity_state_media_power,"ERT shutdown, public broadcasting, austerity and state media power (2013)","Κλείσιμο ΕΡΤ, δημόσια ραδιοτηλεόραση, λιτότητα και κρατική μιντιακή ισχύς (2013)","Surveillance, secrecy and information control",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2013,2013,Pavlos Fyssas murder and Golden Dawn accountability,Greece/00-00-2013/Pavlos Fyssas murder and Golden Dawn accountability,greece_2013_pavlos_fyssas_golden_dawn_accountability,Pavlos Fyssas murder and Golden Dawn accountability,Δολοφονία Παύλου Φύσσα και λογοδοσία της Χρυσής Αυγής,far-right violence / justice,πολιτική βία / εξτρεμισμός / λογοδοσία,mixed public record; read source trail,τεκμηριωμένη δολοφονία και δικαστική λογοδοσία,2
Greece,00-00-2014,2014,Baltakos video and Golden Dawn contacts,Greece/00-00-2014/Baltakos video and Golden Dawn contacts,greece_2014_baltakos_video_golden_dawn_contacts,Baltakos video and Golden Dawn contacts,Baltakos video and Golden Dawn contacts,institutional boundaries / extremism,institutional boundaries / extremism,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,3
Greece,00-00-2014,2014,"Noor One heroin case, power, impunity allegations and public trust (2014-2026)","Greece/00-00-2014/Noor One heroin case, power, impunity allegations and public trust (2014-2026)",greece_2014_noor_one_heroin_power_impunity_allegations,"Noor One heroin case, power, impunity allegations and public trust (2014-2026)","Noor One, ηρωίνη, ισχύς, ισχυρισμοί ατιμωρησίας και δημόσια εμπιστοσύνη (2014-2026)","Corruption, capture and public money",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2015,2015,Capital controls and referendum shock,Greece/00-00-2015/Capital controls and referendum shock,greece_2015_capital_controls_referendum_shock,Capital controls and referendum shock,Capital controls και σοκ δημοψηφίσματος,austerity / sovereignty,οικονομική κρίση / πολιτική ρήξη,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,τεκμηριωμένη οικονομική και πολιτική κρίση,5
Greece,00-00-2015,2015,"Refugee crisis, hotspots, borders and human rights (2015-2026)","Greece/00-00-2015/Refugee crisis, hotspots, borders and human rights (2015-2026)",greece_2015_refugee_crisis_hotspots_borders_human_rights,"Refugee crisis, hotspots, borders and human rights (2015-2026)","Προσφυγική κρίση, hotspots, σύνορα και ανθρώπινα δικαιώματα (2015-2026)","Policing, force and institutional accountability",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2015,2015,"Refugee crisis, island containment, and EU-Turkey border bargain","Greece/00-00-2015/Refugee crisis, island containment, and EU-Turkey border bargain",greece_2015_refugee_crisis_islands_eu_turkey_containment,"Refugee crisis, island containment, and EU-Turkey border bargain","Προσφυγική κρίση, εγκλωβισμός νησιών και παζάρι συνόρων ΕΕ-Τουρκίας",migration / EU policy / humanitarian governance,μετανάστευση / πολιτική ΕΕ / ανθρωπιστική διακυβέρνηση,documented humanitarian crisis with disputed policy responsibility,τεκμηριωμένη ανθρωπιστική κρίση με αμφισβητούμενη πολιτική ευθύνη,2
Greece,00-00-2015,2015,"Third Bailout and Capital Controls Aftermath Democracy, Banks and External Power","Greece/00-00-2015/Third Bailout and Capital Controls Aftermath Democracy, Banks and External Power",greece_2015_third_bailout_capital_controls_aftermath_democracy_banks_external_powe,"Third Bailout and Capital Controls Aftermath: Democracy, Banks and External Power","Τρίτο Μνημόνιο και Capital Controls: Δημοκρατία, Τράπεζες και Εξωτερική Ισχύς",economic sovereignty / bailout governance,οικονομική κυριαρχία / διακυβέρνηση μνημονίων,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-2016,2016,"GREECE — OPEKEPE EU SUBSIDIES, POLITICAL IMMUNITY, AND STATE CAPTURE (2016–2026)","Greece/00-00-2016/GREECE — OPEKEPE EU SUBSIDIES, POLITICAL IMMUNITY, AND STATE CAPTURE (2016–2026)",greece_2016_opekepe_eu_subsidies_political_immunity_state_capture,"GREECE — OPEKEPE: EU SUBSIDIES, POLITICAL IMMUNITY, AND STATE CAPTURE (2016–2026)","ΕΛΛΆΔΑ — ΟΠΕΚΕΠΕ: ΕΠΙΔΟΤΉΣΕΙΣ ΕΕ, ΠΟΛΙΤΙΚΉ ΑΣΥΛΊΑ ΚΑΙ ΚΡΑΤΙΚΉ ΑΙΧΜΑΛΩΣΊΑ (2016–2026)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,4
Greece,00-00-2016,2016,"Novartis political scandal, drug pricing, and allegation warfare","Greece/00-00-2016/Novartis political scandal, drug pricing, and allegation warfare",greece_2016_novartis_political_scandal_drug_pricing,"Novartis political scandal, drug pricing, and allegation warfare","Novartis: πολιτικό σκάνδαλο, τιμές φαρμάκων και πόλεμος καταγγελιών",pharma / bribery allegations / political conflict,φάρμακο / καταγγελίες δωροδοκίας / πολιτική σύγκρουση,documented corporate settlement abroad; Greek political allegations contested,τεκμηριωμένος εταιρικός διακανονισμός στο εξωτερικό· αμφισβητούμενες ελληνικές πολιτικές καταγγελίες,2
Greece,00-00-2016,2016,TV licenses and media-power conflict,Greece/00-00-2016/TV licenses and media-power conflict,greece_2016_tv_licenses_media_power_conflict,TV licenses and media-power conflict,TV licenses and media-power conflict,media regulation / state power,media regulation / state power,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-2016,2016,"TV licenses, media power, state control and rule of law (2016)","Greece/00-00-2016/TV licenses, media power, state control and rule of law (2016)",greece_2016_tv_licenses_media_power_state_control_rule_law,"TV licenses, media power, state control and rule of law (2016)","Τηλεοπτικές άδειες, μιντιακή ισχύς, κρατικός έλεγχος και κράτος δικαίου (2016)","Surveillance, secrecy and information control",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2017,2017,"Mandra flash flood, blocked streams, and planning failure","Greece/00-00-2017/Mandra flash flood, blocked streams, and planning failure",greece_2017_mandra_flash_flood_planning_failure,"Mandra flash flood, blocked streams, and planning failure","Πλημμύρα Μάνδρας, μπαζωμένα ρέματα και αποτυχία σχεδιασμού",disaster / urban planning / accountability,καταστροφή / πολεοδομία / λογοδοσία,documented disaster with official and judicial review,τεκμηριωμένη καταστροφή με θεσμικό και δικαστικό έλεγχο,2
Greece,00-00-2017,2017,Noor One heroin case and allegations of impunity,Greece/00-00-2017/Noor One heroin case and allegations of impunity,greece_2017_noor_one_heroin_allegations_impunity,Noor One heroin case and allegations of impunity,Noor One heroin case and allegations of impunity,organized crime / public trust,organized crime / public trust,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-2018,2018,Folli Follie market fraud and regulator confidence collapse,Greece/00-00-2018/Folli Follie market fraud and regulator confidence collapse,greece_2018_folli_follie_market_fraud_regulator_failure,Folli Follie market fraud and regulator confidence collapse,Folli Follie: χρηματιστηριακή απάτη και κατάρρευση εμπιστοσύνης στους ελέγχους,corporate fraud / market oversight,εταιρική απάτη / εποπτεία αγοράς,documented corporate fraud allegations and prosecutions,τεκμηριωμένες κατηγορίες εταιρικής απάτης και διώξεις,2
Greece,00-00-2018,2018,"Greece Mati wildfire, state failure, and accountability limits (2018-2025)","Greece/00-00-2018/Greece Mati wildfire, state failure, and accountability limits (2018-2025)",greece_2018_mati_wildfire_state_failure,"Greece: Mati wildfire, state failure, and accountability limits (2018-2025)","Ελλάδα: Μάτι, κρατική αποτυχία και όρια λογοδοσίας (2018-2025)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2018,2018,Mati wildfire command failures and public anger,Greece/00-00-2018/Mati wildfire command failures and public anger,greece_2018_mati_wildfire_command_failures_anger,Mati wildfire command failures and public anger,Mati wildfire command failures and public anger,disaster / governance,disaster / governance,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2018,2018,Mati wildfire disaster and emergency failure,Greece/00-00-2018/Mati wildfire disaster and emergency failure,greece_2018_mati_wildfire_disaster_and_emergency_failure,Mati wildfire disaster and emergency failure,Τραγωδία στο Μάτι και αποτυχία έκτακτης ανάγκης,wildfire / state failure,πυρκαγιά / κρατική αποτυχία,documented or historically established event; details vary by source,τεκμηριωμένο ή ιστορικά καθιερωμένο γεγονός· οι λεπτομέρειες διαφέρουν ανά πηγή,2
Greece,00-00-2018,2018,"Mati wildfire, evacuation failure, and command accountability","Greece/00-00-2018/Mati wildfire, evacuation failure, and command accountability",greece_2018_mati_wildfire_evacuation_accountability,"Mati wildfire, evacuation failure, and command accountability","Μάτι: πυρκαγιά, αποτυχία εκκένωσης και ευθύνη διοίκησης",wildfire disaster / civil protection,πυρκαγιά / πολιτική προστασία,documented mass-casualty disaster with contested accountability,τεκμηριωμένη πολύνεκρη καταστροφή με αμφισβητούμενη λογοδοσία,2
Greece,00-00-2018,2018,"Prespa Agreement Backlash Identity Politics, Disinformation and Public Pressure","Greece/00-00-2018/Prespa Agreement Backlash Identity Politics, Disinformation and Public Pressure",greece_2018_prespa_agreement_backlash_identity_politics_disinformation_pressure,"Prespa Agreement Backlash: Identity Politics, Disinformation and Public Pressure","Πρέσπες: Ταυτότητα, Παραπληροφόρηση και Δημόσια Πίεση",identity politics / disinformation,πολιτική ταυτότητας / παραπληροφόρηση,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-2018,2018,"Zak Kostopoulos death, public violence, police response and social stigma (2018-2024)","Greece/00-00-2018/Zak Kostopoulos death, public violence, police response and social stigma (2018-2024)",greece_2018_zak_kostopoulos_death_violence_police_response_social_stigma,"Zak Kostopoulos death, public violence, police response and social stigma (2018-2024)","Θάνατος Ζακ Κωστόπουλου, δημόσια βία, αστυνομική αντίδραση και κοινωνικό στίγμα (2018-2024)","Policing, force and institutional accountability",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2018,2018,Zak Kostopoulos killing and bystander violence,Greece/00-00-2018/Zak Kostopoulos killing and bystander violence,greece_2018_zak_kostopoulos_killing_bystander_violence,Zak Kostopoulos killing and bystander violence,Zak Kostopoulos killing and bystander violence,policing / social violence,policing / social violence,documented killing and trial,documented killing and trial,2
Greece,00-00-2018,2018,"Zak Kostopoulos killing, policing, and media framing","Greece/00-00-2018/Zak Kostopoulos killing, policing, and media framing",greece_2018_zak_kostopoulos_killing_policing_media_frame,"Zak Kostopoulos killing, policing, and media framing","Θάνατος Ζακ Κωστόπουλου, αστυνόμευση και μιντιακή πλαισίωση",policing / vigilante violence / media narrative,αστυνόμευση / αυτοδικία / μιντιακή αφήγηση,documented death and court proceedings with disputed public narratives,τεκμηριωμένος θάνατος και δίκες με αμφισβητούμενες δημόσιες αφηγήσεις,2
Greece,00-00-2019,2019,"Exarchia Operations and Urban Policing Drugs, Squats, Fear and Rights","Greece/00-00-2019/Exarchia Operations and Urban Policing Drugs, Squats, Fear and Rights",greece_2019_exarchia_operations_urban_policing_drugs_squats_fear_rights,"Exarchia Operations and Urban Policing: Drugs, Squats, Fear and Rights","Επιχειρήσεις Εξαρχείων: Ναρκωτικά, Καταλήψεις, Φόβος και Δικαιώματα",urban policing / public order,αστική αστυνόμευση / δημόσια τάξη,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-2019,2019,Greek Mafia killings and state-crime fear,Greece/00-00-2019/Greek Mafia killings and state-crime fear,greece_2019_greek_mafia_killings_state_crime_fear,Greek Mafia killings and state-crime fear,Greek Mafia killings and state-crime fear,organized crime / policing,organized crime / policing,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-2019,2019,"Noor One aftermath, witness pressure, and media-political memory","Greece/00-00-2019/Noor One aftermath, witness pressure, and media-political memory",greece_2019_piraeus_noor_one_political_pressure_media_memory,"Noor One aftermath, witness pressure, and media-political memory","Μετασεισμοί Noor One, πίεση μαρτύρων και μιντιακοπολιτική μνήμη",organized crime / media pressure / disputed influence,οργανωμένο έγκλημα / πίεση ΜΜΕ / αμφισβητούμενη επιρροή,documented heroin case with disputed higher-level influence claims,τεκμηριωμένη υπόθεση ηρωίνης με αμφισβητούμενους ισχυρισμούς ανώτερης επιρροής,2
Greece,00-00-2019,2019,Novartis Greece political scandal and protected witnesses,Greece/00-00-2019/Novartis Greece political scandal and protected witnesses,greece_2019_novartis_greece_political_scandal_protected_witnesses,Novartis Greece political scandal and protected witnesses,Πολιτικό σκάνδαλο Novartis στην Ελλάδα και προστατευόμενοι μάρτυρες,pharmaceutical corruption / politics,φαρμακευτική διαφθορά / πολιτική,documented investigation with disputed political claims,documented investigation with disputed political claims,2
Greece,00-00-2020,2020,"COVID lockdowns, policing, procurement, and trust in emergency rule","Greece/00-00-2020/COVID lockdowns, policing, procurement, and trust in emergency rule",greece_2020_covid_lockdowns_policing_procurement_trust,"COVID lockdowns, policing, procurement, and trust in emergency rule","COVID lockdown, αστυνόμευση, προμήθειες και εμπιστοσύνη στην έκτακτη διακυβέρνηση",pandemic governance / emergency powers / procurement,διακυβέρνηση πανδημίας / έκτακτες εξουσίες / προμήθειες,documented emergency policy with contested proportionality and procurement questions,τεκμηριωμένη έκτακτη πολιτική με αμφισβητούμενη αναλογικότητα και ερωτήματα προμηθειών,2
Greece,00-00-2020,2020,Evros border crisis and information war,Greece/00-00-2020/Evros border crisis and information war,greece_2020_evros_border_crisis_and_information_war,Evros border crisis and information war,Κρίση Έβρου και πληροφοριακός πόλεμος,border crisis / propaganda,κρίση συνόρων / προπαγάνδα,documented or historically established event; details vary by source,τεκμηριωμένο ή ιστορικά καθιερωμένο γεγονός· οι λεπτομέρειες διαφέρουν ανά πηγή,2
Greece,00-00-2020,2020,"GREECE — COVID SMS PERMITS LOCKDOWNS, CERTIFICATES, AND PERMISSION CULTURE (2020–2023)","Greece/00-00-2020/GREECE — COVID SMS PERMITS LOCKDOWNS, CERTIFICATES, AND PERMISSION CULTURE (2020–2023)",greece_2020_covid_sms_permits_lockdowns_certificates_permission_culture,"GREECE — COVID SMS PERMITS: LOCKDOWNS, CERTIFICATES, AND PERMISSION CULTURE (2020–2023)","ΕΛΛΆΔΑ — COVID SMS ΆΔΕΙΕΣ: LOCKDOWNS, ΠΙΣΤΟΠΟΙΗΤΙΚΆ ΚΑΙ ΚΟΥΛΤΟΎΡΑ ΆΔΕΙΑΣ (2020–2023)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,4
Greece,00-00-2020,2020,"GREECE Petsas List, Media Funding, and Message Control (2020-2026)","Greece/00-00-2020/GREECE Petsas List, Media Funding, and Message Control (2020-2026)",greece_2020_petsas_list_media_funding_message_control,"GREECE: Petsas List, Media Funding, and Message Control (2020-2026)",Petsas list media funding and message control,media funding / pandemic,media funding / pandemic,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-2020,2020,"Greece Pushbacks, Border Violations, and the Accountability Fight (2020-2026)","Greece/00-00-2020/Greece Pushbacks, Border Violations, and the Accountability Fight (2020-2026)",greece_2020_pushbacks_border_rights,"Greece: Pushbacks, Border Violations, and the Accountability Fight (2020-2026)","Ελλάδα: Pushbacks, παραβιάσεις στα σύνορα και η μάχη για λογοδοσία (2020-2026)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2020,2020,"Greek COVID Fines and Movement Forms Enforcement, Class and Permission Culture","Greece/00-00-2020/Greek COVID Fines and Movement Forms Enforcement, Class and Permission Culture",greece_2020_greek_covid_fines_movement_forms_enforcement_class_permission_culture,"Greek COVID Fines and Movement Forms: Enforcement, Class and Permission Culture","Πρόστιμα COVID και Έντυπα Μετακίνησης: Επιβολή, Τάξη και Κουλτούρα Άδειας",pandemic controls / enforcement,έλεγχοι πανδημίας / επιβολή,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-2020,2020,"Greek pandemic SMS permits, policing, and normalization","Greece/00-00-2020/Greek pandemic SMS permits, policing, and normalization",greece_2020_pandemic_sms_permits_policing_normalization,"Greek pandemic SMS permits, policing, and normalization","Greek pandemic SMS permits, policing, and normalization",public health / movement control,public health / movement control,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2021,2021,Dimitris Lignadis case and cultural power networks,Greece/00-00-2021/Dimitris Lignadis case and cultural power networks,greece_2021_dimitris_lignadis_cultural_power_networks,Dimitris Lignadis case and cultural power networks,Dimitris Lignadis case and cultural power networks,abuse / elite protection,abuse / elite protection,documented criminal case and public debate,documented criminal case and public debate,2
Greece,00-00-2021,2021,"Evia wildfires, state response, climate failure and rural abandonment (2021)","Greece/00-00-2021/Evia wildfires, state response, climate failure and rural abandonment (2021)",greece_2021_evia_wildfires_state_response_climate_failure_rural_abandonment,"Evia wildfires, state response, climate failure and rural abandonment (2021)","Πυρκαγιές Εύβοιας, κρατική αντίδραση, κλιματική αποτυχία και εγκατάλειψη υπαίθρου (2021)","Corruption, capture and public money",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2021,2021,Giorgos Karaivaz assassination and press-freedom wound,Greece/00-00-2021/Giorgos Karaivaz assassination and press-freedom wound,greece_2021_giorgos_karaivaz_assassination_and_press_freedom_wound,Giorgos Karaivaz assassination and press-freedom wound,Δολοφονία Γιώργου Καραϊβάζ και πληγή στην ελευθερία του Τύπου,journalist killing / organized crime / impunity,δολοφονία δημοσιογράφου / οργανωμένο έγκλημα / ατιμωρησία,documented murder; accountability disputed,τεκμηριωμένη δολοφονία· η λογοδοσία αμφισβητείται,2
Greece,00-00-2021,2021,"GREECE Closed Controlled Camps, Cash Assistance Interruptions, and the Hardening of Asyl","Greece/00-00-2021/GREECE Closed Controlled Camps, Cash Assistance Interruptions, and the Hardening of Asyl",greece_2021_closed_controlled_camps_asylum_control,"GREECE: Closed Controlled Camps, Cash Assistance Interruptions, and the Hardening of Asylum Control (2021-2026)","ΕΛΛΑΔΑ: Κλειστές ελεγχόμενες δομές, διακοπές οικονομικής ενίσχυσης και σκλήρυνση του ελέγχου ασύλου (2021-2026)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2021,2021,"GREECE GIORGOS KARAIVAZ, JOURNALIST MURDER, AND THE IMPUNITY PROBLEM (2021-2026)","Greece/00-00-2021/GREECE GIORGOS KARAIVAZ, JOURNALIST MURDER, AND THE IMPUNITY PROBLEM (2021-2026)",greece_2021_karaivaz_assassination_impunity,"GREECE: GIORGOS KARAIVAZ, JOURNALIST MURDER, AND THE IMPUNITY PROBLEM (2021-2026)","ΕΛΛΑΔΑ: ΓΙΩΡΓΟΣ ΚΑΡΑΪΒΑΖ, ΔΟΛΟΦΟΝΙΑ ΔΗΜΟΣΙΟΓΡΑΦΟΥ ΚΑΙ ΤΟ ΠΡΟΒΛΗΜΑ ΤΗΣ ΑΤΙΜΩΡΗΣΙΑΣ (2021-2026)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2021,2021,Karaivaz assassination and journalist safety,Greece/00-00-2021/Karaivaz assassination and journalist safety,greece_2021_karaivaz_assassination_journalist_safety,Karaivaz assassination and journalist safety,Karaivaz assassination and journalist safety,press freedom / organized crime,press freedom / organized crime,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-2021,2021,"Nea Smyrni police violence, protests and public-order narratives (2021)","Greece/00-00-2021/Nea Smyrni police violence, protests and public-order narratives (2021)",greece_2021_nea_smyrni_police_violence_protests_order_narratives,"Nea Smyrni police violence, protests and public-order narratives (2021)","Νέα Σμύρνη, αστυνομική βία, διαδηλώσεις και αφηγήσεις δημόσιας τάξης (2021)","Policing, force and institutional accountability",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-2021,2021,"Nea Smyrni police violence, public-order panic, and backlash","Greece/00-00-2021/Nea Smyrni police violence, public-order panic, and backlash",greece_2021_nea_smyrni_police_violence_public_order_backlash,"Nea Smyrni police violence, public-order panic, and backlash","Νέα Σμύρνη, αστυνομική βία, πανικός δημόσιας τάξης και αντίδραση",policing / protest / pandemic restrictions,αστυνόμευση / διαμαρτυρία / περιορισμοί πανδημίας,documented public incident with contested protest and policing narratives,τεκμηριωμένο δημόσιο περιστατικό με αμφισβητούμενες αφηγήσεις διαμαρτυρίας και αστυνόμευσης,2
Greece,00-00-2021,2021,Novartis scandal political-judicial battle,Greece/00-00-2021/Novartis scandal political-judicial battle,greece_2021_novartis_scandal_political_judicial_battle,Novartis scandal political-judicial battle,Novartis και πολιτικοδικαστική μάχη,pharma / corruption allegation,φαρμακευτική / καταγγελία διαφθοράς,documented or historically established event; details vary by source,τεκμηριωμένο ή ιστορικά καθιερωμένο γεγονός· οι λεπτομέρειες διαφέρουν ανά πηγή,2
Greece,00-00-2021,2021,"Vaccination Certificates in Greece Public Health, Work Access and Social Division","Greece/00-00-2021/Vaccination Certificates in Greece Public Health, Work Access and Social Division",greece_2021_vaccination_certificates_in_greece_health_work_access_social_division,"Vaccination Certificates in Greece: Public Health, Work Access and Social Division","Πιστοποιητικά Εμβολιασμού στην Ελλάδα: Υγεία, Εργασία και Κοινωνικός Διχασμός",public health policy / civil liberties,πολιτική υγείας / πολιτικές ελευθερίες,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
Greece,00-00-2022,2022,"Ark of the World Charity Scandal Children, Donations and Oversight Failure","Greece/00-00-2022/Ark of the World Charity Scandal Children, Donations and Oversight Failure",greece_2022_ark_world_charity_scandal_children_donations_oversight_failure,"Ark of the World Charity Scandal: Children, Donations and Oversight Failure","Κιβωτός του Κόσμου: Παιδιά, Δωρεές και Αποτυχία Ελέγχου",child protection / charity oversight,προστασία παιδιών / έλεγχος ΜΚΟ,documented case or documented public controversy with unresolved interpretation,τεκμηριωμένη υπόθεση ή δημόσια διαμάχη με ανοιχτή ερμηνεία,2
